footprint_mb perf
0 39.780569235282115
4 41.453447050461975
8 47.445846477392216
12 47.71747607153046
16 54.407998114393465
20 53.78581789822577
24 57.62756572701261
28 57.18110444596481
32 61.41053386152279
36 61.102802359234204
40 67.2828976517501
44 71.24434288422154
48 78.89753639417694
52 86.36438832074343
56 97.48981614488311
60 110.74955357488187
64 125.51990468719055
68 129.82788900725964
72 135.95087163232964
76 144.22876638534746
80 148.77260782191993
84 147.7127767621369
88 152.57215786373453
92 155.48900079186717
96 157.03457882066624
100 156.7681862269641
104 158.00124525862836
108 158.28391231909032
112 157.1207497820401
