footprint_mb perf
0 42.797538
4 42.63886
8 42.805756
12 42.75087
16 42.874262
20 42.976231
24 43.136416
28 43.192248
32 43.338366
36 43.417359
40 43.858329
44 44.004598
48 44.218324
52 44.601496
56 44.989316
60 45.478439
64 45.882191
68 46.131376
72 46.243404
76 46.249468
80 46.493452
84 46.633164
88 46.50839
92 46.624579
96 46.69959
100 46.615644
104 46.661086
108 46.715701
112 46.818994
