name perf
600.perlbench_s 15745931.0
602.gcc_s 16033956.0
605.mcf_s 16094113.0
620.omnetpp_s 16704986.0
623.xalancbmk_s 15669646.0
625.x264_s 15747721.0
631.deepsjeng_s 15778534.0
641.leela_s 15675209.0
648.exchange2_s 15782757.0
657.xz_s 15888954.0
603.bwaves_s 18929153.0
607.cactuBSSN_s 17343271.0
619.lbm_s 31979473.0
627.cam4_s 16095528.0
628.pop2_s 18014941.0
638.imagick_s 15997246.0
644.nab_s 15734982.0
649.fotonik3d_s 24484608.0
654.roms_s 19775324.0
