0 6569769 6583526
1 7003862 6900443
2 7206832 7008860
3 7432366 7043954
4 7554290 7149402
5 7620061 7249094
6 7609535 7476674
7 7752976 7737378
8 7941702 8074036
9 8274550 8410466
10 8376301 8779468
11 8752973 9331377
12 9154021 10214866
13 10272668 11375080
14 11386227 12514711
15 12741602 13752509
16 14475297 15460293
17 16475564 16709362
18 17510439 17671282
19 18201654 18965329
20 17923857 19276923
21 18887409 20892222
22 19291757 21223569
23 20234433 22600352
24 20659180 22928495
25 20730403 23089820
26 20848561 23460294
27 21271147 23908250
28 21265581 24213010
29 21130502 24230912
30 21643598 24357813
