footprint_mb runtime
0 1.572546
1 1.589303
2 1.598914
3 1.59733
4 1.626674
5 1.623649
6 1.637808
7 1.651052
8 1.680255
9 1.699998
10 1.718451
11 1.751806
12 1.775045
13 1.805115
14 1.853973
15 1.90266
16 1.945951
17 2.033863
18 2.080808
19 2.165473
20 2.160768
21 2.188499
22 2.213968
23 2.247738
24 2.234884
25 2.278086
26 2.255719
27 2.261578
28 2.256686
29 2.264999
