footprint_mb perf
0 31.000813
1 31.053712
2 31.072736
3 31.087578
4 31.081227
5 31.157799
6 31.174956
7 31.234493
8 31.26349
9 31.360548
10 31.455547
11 31.537078
12 31.648261
13 31.79181
14 31.918561
15 32.143651
16 32.296956
17 32.552442
18 32.719837
19 32.835806
20 32.915874
21 33.094453
22 33.043731
23 33.014816
24 33.182496
25 33.159773
26 33.136419
27 33.138345
28 33.081863
29 33.100714
