footprint_mb perf
0 22.932325
4 23.522386
8 23.851477
12 24.096551
16 24.37885
20 24.576039
24 24.839804
28 25.422485
32 26.06176
36 26.672082
40 28.554123
44 31.599642
48 33.974691
52 36.769725
56 38.809574
60 40.479946
64 41.917766
68 42.804733
72 43.627814
76 43.91777
80 44.570751
84 44.7822
88 44.661173
92 45.102295
96 45.081444
100 45.345566
104 45.156859
108 45.388864
112 45.406302
