footprint_mb runtime
0 0.007846
1 0.0079
2 0.007921
3 0.007994
4 0.008151
5 0.008256
6 0.008289
7 0.008395
8 0.008391
9 0.008566
10 0.00873
11 0.008846
12 0.009141
13 0.009543
14 0.009544
15 0.009844
16 0.010458
17 0.011097
18 0.011675
19 0.011635
20 0.011781
21 0.011812
22 0.012035
23 0.01227
24 0.012407
25 0.012249
26 0.012168
27 0.012318
28 0.01207
29 0.012237
