footprint_mb runtime
0 2.317925
1 2.339711
2 2.348737
3 2.355672
4 2.370842
5 2.385712
6 2.421231
7 2.471082
8 2.531169
9 2.562239
10 2.667113
11 2.774568
12 2.904751
13 3.086406
14 3.243404
15 3.404091
16 3.548272
17 3.645034
18 3.771257
19 3.839706
20 3.930993
21 4.017102
22 4.077852
23 4.132191
24 4.168772
25 4.19534
26 4.228138
27 4.245204
28 4.28214
29 4.302308
