footprint perf
0 13165369.0
4 14133188.0
8 14733681.0
12 14997617.0
16 15187330.0
20 15362007.0
24 15549883.0
28 16068275.0
32 16422679.0
36 16964841.0
40 18665780.0
44 20474506.0
48 23372988.0
52 26795688.0
56 29464162.0
60 32825606.0
64 36540970.0
68 38793000.0
72 41077166.0
76 42382298.0
80 44228486.0
84 44956520.0
88 45584607.0
92 46141650.0
96 46614588.0
100 46719516.0
104 47044598.0
108 47410379.0
112 47166568.0
